municipality,reporting_unit,contest,candidate,votes,county,ctv
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,374,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,302,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",23,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,522,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE SENATOR DISTRICT 22,WRITE-IN NA,16,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,392,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,293,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,DEM CARLI MCNEILL,396,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,REP XAVIER SOLIS,285,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY CLERK,DEM REGI WALIGORA,526,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY CLERK,WRITE-IN NA,20,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY TREASURER,DEM TERI JACOBSON,518,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY TREASURER,WRITE-IN NA,20,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REGISTER OF DEEDS,DEM JENNIFER MACK,518,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REGISTER OF DEEDS,WRITE-IN NA,19,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE REFERENDUM,YES NA,487,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE REFERENDUM,NO NA,165,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,203,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,196,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",4,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,UNITED STATES SENATOR,DEM TAMMY BALDWIN,195,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,UNITED STATES SENATOR,REP ERIC HOVDE,190,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,UNITED STATES SENATOR,DTC PHIL ANDERSON,9,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,UNITED STATES SENATOR,AFT THOMAS LEAGER,7,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,UNITED STATES SENATOR,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,198,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,189,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",8,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,271,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,STATE SENATOR DISTRICT 22,WRITE-IN NA,20,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,201,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,173,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,DISTRICT ATTORNEY,DEM CARLI MCNEILL,188,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,DISTRICT ATTORNEY,REP XAVIER SOLIS,185,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,DISTRICT ATTORNEY,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,COUNTY CLERK,DEM REGI WALIGORA,264,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,COUNTY CLERK,WRITE-IN NA,12,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,COUNTY TREASURER,DEM TERI JACOBSON,262,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,COUNTY TREASURER,WRITE-IN NA,12,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REGISTER OF DEEDS,DEM JENNIFER MACK,258,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,REGISTER OF DEEDS,WRITE-IN NA,10,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,STATE REFERENDUM,YES NA,273,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 2,STATE REFERENDUM,NO NA,87,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,211,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,179,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,UNITED STATES SENATOR,DEM TAMMY BALDWIN,212,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,UNITED STATES SENATOR,REP ERIC HOVDE,162,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,UNITED STATES SENATOR,AFT THOMAS LEAGER,11,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,UNITED STATES SENATOR,DTC PHIL ANDERSON,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,UNITED STATES SENATOR,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,206,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,166,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,307,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,STATE SENATOR DISTRICT 22,WRITE-IN NA,12,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,214,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,158,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,DISTRICT ATTORNEY,DEM CARLI MCNEILL,214,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,DISTRICT ATTORNEY,REP XAVIER SOLIS,155,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,DISTRICT ATTORNEY,WRITE-IN NA,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,COUNTY CLERK,DEM REGI WALIGORA,299,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,COUNTY CLERK,WRITE-IN NA,13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,COUNTY TREASURER,DEM TERI JACOBSON,300,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,COUNTY TREASURER,WRITE-IN NA,12,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REGISTER OF DEEDS,DEM JENNIFER MACK,289,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,REGISTER OF DEEDS,WRITE-IN NA,13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,STATE REFERENDUM,YES NA,276,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 3,STATE REFERENDUM,NO NA,83,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,102,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,77,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,UNITED STATES SENATOR,REP ERIC HOVDE,95,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,UNITED STATES SENATOR,DEM TAMMY BALDWIN,81,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,UNITED STATES SENATOR,AFT THOMAS LEAGER,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,UNITED STATES SENATOR,DTC PHIL ANDERSON,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,UNITED STATES SENATOR,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,98,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,77,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,126,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,STATE SENATOR DISTRICT 22,WRITE-IN NA,5,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,90,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,81,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,DISTRICT ATTORNEY,REP XAVIER SOLIS,98,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,DISTRICT ATTORNEY,DEM CARLI MCNEILL,72,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,DISTRICT ATTORNEY,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,COUNTY CLERK,DEM REGI WALIGORA,124,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,COUNTY CLERK,WRITE-IN NA,7,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,COUNTY TREASURER,DEM TERI JACOBSON,129,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,COUNTY TREASURER,WRITE-IN NA,6,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REGISTER OF DEEDS,DEM JENNIFER MACK,124,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,REGISTER OF DEEDS,WRITE-IN NA,5,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,STATE REFERENDUM,YES NA,132,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 4,STATE REFERENDUM,NO NA,30,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,445,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,283,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",7,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,UNITED STATES SENATOR,DEM TAMMY BALDWIN,446,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,UNITED STATES SENATOR,REP ERIC HOVDE,256,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,UNITED STATES SENATOR,AFT THOMAS LEAGER,8,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,UNITED STATES SENATOR,DTC PHIL ANDERSON,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,UNITED STATES SENATOR,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,412,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,265,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",23,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,2,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,600,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,STATE SENATOR DISTRICT 22,WRITE-IN NA,15,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,425,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,260,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,DISTRICT ATTORNEY,DEM CARLI MCNEILL,431,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,DISTRICT ATTORNEY,REP XAVIER SOLIS,251,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,DISTRICT ATTORNEY,WRITE-IN NA,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,COUNTY CLERK,DEM REGI WALIGORA,599,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,COUNTY CLERK,WRITE-IN NA,7,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,COUNTY TREASURER,DEM TERI JACOBSON,592,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,COUNTY TREASURER,WRITE-IN NA,6,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REGISTER OF DEEDS,DEM JENNIFER MACK,580,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,REGISTER OF DEEDS,WRITE-IN NA,8,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,STATE REFERENDUM,YES NA,502,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 5,STATE REFERENDUM,NO NA,188,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,166,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,133,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,4,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,UNITED STATES SENATOR,DEM TAMMY BALDWIN,165,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,UNITED STATES SENATOR,REP ERIC HOVDE,112,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,UNITED STATES SENATOR,DTC PHIL ANDERSON,16,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,UNITED STATES SENATOR,AFT THOMAS LEAGER,6,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,UNITED STATES SENATOR,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,167,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,119,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,227,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,STATE SENATOR DISTRICT 22,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,177,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,115,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,DISTRICT ATTORNEY,DEM CARLI MCNEILL,167,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,DISTRICT ATTORNEY,REP XAVIER SOLIS,122,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,DISTRICT ATTORNEY,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,COUNTY CLERK,DEM REGI WALIGORA,225,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,COUNTY CLERK,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,COUNTY TREASURER,DEM TERI JACOBSON,225,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,COUNTY TREASURER,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REGISTER OF DEEDS,DEM JENNIFER MACK,220,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,REGISTER OF DEEDS,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,STATE REFERENDUM,YES NA,193,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 6,STATE REFERENDUM,NO NA,90,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 7,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,117,KENOSHA,C
