reporting_unit,municipality,contest,candidate,votes,county,ctv
VILLAGE OF BAGLEY WARD 1,BAGLEY,COUNTY TREASURER,CARRIE EASTLICK,186,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,REGISTER OF DEEDS,ANDREA L. NOETHE,185,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,ELIGIBILITY TO VOTE,YES,152,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,ELIGIBILITY TO VOTE,NO,58,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,112,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,101,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,KAMALA D. HARRIS TIM WALZ,142,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,DONALD J. TRUMP JD VANCE,235,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,JILL STEIN RUDOLPH WARE,2,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,PETER SONSKI,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,TAMMY BALDWIN,158,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,ERIC HOVDE,221,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,PHIL ANDERSON,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,THOMAS LEAGER,2,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,SENATOR,SENATOR SCATTERING,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,CONGRESS,REBECCA COOKE,144,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,CONGRESS,DERRICK VAN ORDEN,233,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,CONGRESS,CONGRESS SCATTERING,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 49,SCOTT A. WALKER,109,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 49,TRAVIS TRANEL,270,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 49,DIST 49 SCATTERING,0,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 51,ELIZABETH GRABE,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 51,TODD NOVAK,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DIST 51,DIST 51 SCATTERING,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DA,RYAN KIELER,329,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,DA,DA SCATTERING,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,COUNTY CLERK,TONYA WHITE,331,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,COUNTY CLERK,COUNTY CLERK SCATTERING,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,COUNTY TREASURER,CARRIE EASTLICK,329,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,COUNTY TREASURER,COUNTY TREASURER SCATTERING,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,REGISTER OF DEEDS,ANDREA L. NOETHE,333,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,3,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,ELIGIBILITY TO VOTE,YES,294,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,ELIGIBILITY TO VOTE,NO,79,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,161,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,219,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF BLOOMINGTON WARD 1,BLOOMINGTON,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,KAMALA D. HARRIS TIM WALZ,257,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,DONALD J. TRUMP JD VANCE,370,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,JILL STEIN RUDOLPH WARE,4,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",2,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,PETER SONSKI,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PRESIDENT,PRESIDENTSCATTERING,2,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,TAMMY BALDWIN,271,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,ERIC HOVDE,333,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,PHIL ANDERSON,9,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,THOMAS LEAGER,9,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,SENATOR,SENATOR SCATTERING,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,CONGRESS,REBECCA COOKE,263,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,CONGRESS,DERRICK VAN ORDEN,353,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,CONGRESS,CONGRESS SCATTERING,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 49,SCOTT A. WALKER,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 49,TRAVIS TRANEL,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 49,DIST 49 SCATTERING,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 51,ELIZABETH GRABE,249,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 51,TODD NOVAK,366,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DIST 51,DIST 51 SCATTERING,0,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DA,RYAN KIELER,498,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,DA,DA SCATTERING,6,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,COUNTY CLERK,TONYA WHITE,494,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,COUNTY CLERK,COUNTY CLERK SCATTERING,6,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,COUNTY TREASURER,CARRIE EASTLICK,492,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,COUNTY TREASURER,COUNTY TREASURER SCATTERING,4,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,REGISTER OF DEEDS,ANDREA L. NOETHE,492,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,4,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,ELIGIBILITY TO VOTE,YES,475,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,ELIGIBILITY TO VOTE,NO,123,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF HAZEL GREEN WARDS 1-2,HAZEL GREEN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,KAMALA D. HARRIS TIM WALZ,15,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,DONALD J. TRUMP JD VANCE,34,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,JILL STEIN RUDOLPH WARE,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,PETER SONSKI,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,TAMMY BALDWIN,19,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,ERIC HOVDE,28,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,PHIL ANDERSON,2,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,THOMAS LEAGER,1,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,SENATOR,SENATOR SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,CONGRESS,REBECCA COOKE,20,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,CONGRESS,DERRICK VAN ORDEN,30,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,CONGRESS,CONGRESS SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 49,SCOTT A. WALKER,15,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 49,TRAVIS TRANEL,34,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 49,DIST 49 SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 51,ELIZABETH GRABE,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 51,TODD NOVAK,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DIST 51,DIST 51 SCATTERING,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DA,RYAN KIELER,42,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,DA,DA SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,COUNTY CLERK,TONYA WHITE,43,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,COUNTY TREASURER,CARRIE EASTLICK,44,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,REGISTER OF DEEDS,ANDREA L. NOETHE,43,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,ELIGIBILITY TO VOTE,YES,41,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,ELIGIBILITY TO VOTE,NO,8,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,V
VILLAGE OF WOODMAN WARD 1,WOODMAN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,V
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,KAMALA D. HARRIS TIM WALZ,578,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,DONALD J. TRUMP JD VANCE,860,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,4,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,JILL STEIN RUDOLPH WARE,1,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,C
CITY OF BOSCOBEL WARDS 1-8,BOSCOBEL,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,C
