ctv,reporting_unit,contest,candidate,votes,county,municipality
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,ERIC HOVDE,170,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,PHIL ANDERSON,6,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,THOMAS LEAGER,5,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,JOHN SCHIESS (WRITE-IN),0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,KYLE KILBOURN,85,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,TOM TIFFANY,191,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,JEANNE RAND BRUCE,89,WASHBURN,BARRONETT
T,BARRONETT,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,CHANZ J GREEN,186,WASHBURN,BARRONETT
T,BARRONETT,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,AARON MARCOUX,223,WASHBURN,BARRONETT
T,BARRONETT,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,SCATTERING,2,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_CLERK_ATTORNEY,ALICIA SWEARINGEN,229,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_CLERK_ATTORNEY,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_TREASURER_ATTORNEY,NICOLE M TIMS,237,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_TREASURER_ATTORNEY,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_REGISTER OF_DEEDS,JESSICA HEDINGER,236,WASHBURN,BARRONETT
T,BARRONETT,COUNTY_REGISTER OF_DEEDS,SCATTERING,0,WASHBURN,BARRONETT
T,BARRONETT,STATE_REFERENDUM QUESTION_DEEDS,YES,215,WASHBURN,BARRONETT
T,BARRONETT,STATE_REFERENDUM QUESTION_DEEDS,NO,50,WASHBURN,BARRONETT
T,BARRONETT,MUNICIPAL_REFERENDUM QUESTION_DEEDS,YES,NA,WASHBURN,BARRONETT
T,BARRONETT,MUNICIPAL_REFERENDUM QUESTION_DEEDS,NO,NA,WASHBURN,BARRONETT
T,BARRONETT,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,YES,NA,WASHBURN,BARRONETT
T,BARRONETT,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,NO,NA,WASHBURN,BARRONETT
T,BARRONETT,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,YES,136,WASHBURN,BARRONETT
T,BARRONETT,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,NO,133,WASHBURN,BARRONETT
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,KAMALA D. HARRIS / TIM WALZ,203,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DONALD J. TRUMP / JD VANCE,512,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,RANDALL TERRY / STEPHEN BRODEN,3,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHASE RUSSELL OLIVER / MIKE TER MAAT,7,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,JILL STEIN / RUDOLPH WARE,1,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CLAUDIA DE LA CRUZ / KARINA GARDA,0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CORNEL WEST / MELINA ABDULLAH,0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHERUNDA LYNN FOX (WRITE-IN),0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,BRIAN KIENITZ (WRITE-IN),0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-I,0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ANDRE' RAMONE MCNEIL, SR. (WRITE-IN)",0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,SCATTERING,3,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,TAMMY BALDWIN,204,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,ERIC HOVDE,509,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,PHIL ANDERSON,19,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,THOMAS LEAGER,2,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,JOHN SCHIESS (WRITE-IN),0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,SCATTERING,0,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,KYLE KILBOURN,185,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,TOM TIFFANY,525,WASHBURN,BASHAW
T,BASHAW,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,SCATTERING,3,WASHBURN,BASHAW
T,BASHAW,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,JEANNE RAND BRUCE,201,WASHBURN,BASHAW
T,BASHAW,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,CHANZ J GREEN,520,WASHBURN,BASHAW
T,BASHAW,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,SCATTERING,1,WASHBURN,BASHAW
T,BASHAW,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,AARON MARCOUX,553,WASHBURN,BASHAW
T,BASHAW,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,SCATTERING,2,WASHBURN,BASHAW
T,BASHAW,COUNTY_CLERK_ATTORNEY,ALICIA SWEARINGEN,629,WASHBURN,BASHAW
T,BASHAW,COUNTY_CLERK_ATTORNEY,SCATTERING,5,WASHBURN,BASHAW
T,BASHAW,COUNTY_TREASURER_ATTORNEY,NICOLE M TIMS,639,WASHBURN,BASHAW
T,BASHAW,COUNTY_TREASURER_ATTORNEY,SCATTERING,4,WASHBURN,BASHAW
T,BASHAW,COUNTY_REGISTER OF_DEEDS,JESSICA HEDINGER,624,WASHBURN,BASHAW
T,BASHAW,COUNTY_REGISTER OF_DEEDS,SCATTERING,4,WASHBURN,BASHAW
T,BASHAW,STATE_REFERENDUM QUESTION_DEEDS,YES,578,WASHBURN,BASHAW
T,BASHAW,STATE_REFERENDUM QUESTION_DEEDS,NO,124,WASHBURN,BASHAW
T,BASHAW,MUNICIPAL_REFERENDUM QUESTION_DEEDS,YES,NA,WASHBURN,BASHAW
T,BASHAW,MUNICIPAL_REFERENDUM QUESTION_DEEDS,NO,NA,WASHBURN,BASHAW
T,BASHAW,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,YES,NA,WASHBURN,BASHAW
T,BASHAW,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,NO,NA,WASHBURN,BASHAW
T,BASHAW,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,YES,225,WASHBURN,BASHAW
T,BASHAW,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,NO,290,WASHBURN,BASHAW
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,KAMALA D. HARRIS / TIM WALZ,114,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DONALD J. TRUMP / JD VANCE,279,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,RANDALL TERRY / STEPHEN BRODEN,1,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,JILL STEIN / RUDOLPH WARE,0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CLAUDIA DE LA CRUZ / KARINA GARDA,0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CORNEL WEST / MELINA ABDULLAH,0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHERUNDA LYNN FOX (WRITE-IN),0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,BRIAN KIENITZ (WRITE-IN),0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-I,0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ANDRE' RAMONE MCNEIL, SR. (WRITE-IN)",0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,SCATTERING,1,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,TAMMY BALDWIN,115,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,ERIC HOVDE,266,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,PHIL ANDERSON,3,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,THOMAS LEAGER,5,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,JOHN SCHIESS (WRITE-IN),0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,SCATTERING,0,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,KYLE KILBOURN,103,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,TOM TIFFANY,279,WASHBURN,BASS LAKE
T,BASS LAKE,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,SCATTERING,0,WASHBURN,BASS LAKE
T,BASS LAKE,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,JEANNE RAND BRUCE,110,WASHBURN,BASS LAKE
T,BASS LAKE,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,CHANZ J GREEN,268,WASHBURN,BASS LAKE
T,BASS LAKE,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,SCATTERING,0,WASHBURN,BASS LAKE
T,BASS LAKE,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,AARON MARCOUX,285,WASHBURN,BASS LAKE
T,BASS LAKE,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,SCATTERING,0,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_CLERK_ATTORNEY,ALICIA SWEARINGEN,339,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_CLERK_ATTORNEY,SCATTERING,2,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_TREASURER_ATTORNEY,NICOLE M TIMS,339,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_TREASURER_ATTORNEY,SCATTERING,2,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_REGISTER OF_DEEDS,JESSICA HEDINGER,334,WASHBURN,BASS LAKE
T,BASS LAKE,COUNTY_REGISTER OF_DEEDS,SCATTERING,2,WASHBURN,BASS LAKE
T,BASS LAKE,STATE_REFERENDUM QUESTION_DEEDS,YES,309,WASHBURN,BASS LAKE
T,BASS LAKE,STATE_REFERENDUM QUESTION_DEEDS,NO,53,WASHBURN,BASS LAKE
T,BASS LAKE,MUNICIPAL_REFERENDUM QUESTION_DEEDS,YES,NA,WASHBURN,BASS LAKE
T,BASS LAKE,MUNICIPAL_REFERENDUM QUESTION_DEEDS,NO,NA,WASHBURN,BASS LAKE
T,BASS LAKE,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,YES,NA,WASHBURN,BASS LAKE
T,BASS LAKE,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,NO,NA,WASHBURN,BASS LAKE
T,BASS LAKE,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,YES,NA,WASHBURN,BASS LAKE
T,BASS LAKE,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,NO,NA,WASHBURN,BASS LAKE
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,KAMALA D. HARRIS / TIM WALZ,174,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DONALD J. TRUMP / JD VANCE,336,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,RANDALL TERRY / STEPHEN BRODEN,1,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHASE RUSSELL OLIVER / MIKE TER MAAT,4,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,JILL STEIN / RUDOLPH WARE,1,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CLAUDIA DE LA CRUZ / KARINA GARDA,2,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CORNEL WEST / MELINA ABDULLAH,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHERUNDA LYNN FOX (WRITE-IN),0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,BRIAN KIENITZ (WRITE-IN),0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-I,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ANDRE' RAMONE MCNEIL, SR. (WRITE-IN)",0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,SCATTERING,2,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,TAMMY BALDWIN,187,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,ERIC HOVDE,322,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,PHIL ANDERSON,4,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,THOMAS LEAGER,6,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,JOHN SCHIESS (WRITE-IN),0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,KYLE KILBOURN,166,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,TOM TIFFANY,327,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,F E D E R A L O F F I C E S_CONGRESSIONAL_REP -DIST 7,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,JEANNE RAND BRUCE,164,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,CHANZ J GREEN,340,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,LEGISLATIVE & STATE_REP TO ASSEMBLY_74TH,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,AARON MARCOUX,395,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,LEGISLATIVE & STATE_DISTRICT_ATTORNEY,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_CLERK_ATTORNEY,ALICIA SWEARINGEN,440,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_CLERK_ATTORNEY,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_TREASURER_ATTORNEY,NICOLE M TIMS,440,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_TREASURER_ATTORNEY,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_REGISTER OF_DEEDS,JESSICA HEDINGER,438,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,COUNTY_REGISTER OF_DEEDS,SCATTERING,0,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,STATE_REFERENDUM QUESTION_DEEDS,YES,281,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,STATE_REFERENDUM QUESTION_DEEDS,NO,121,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,MUNICIPAL_REFERENDUM QUESTION_DEEDS,YES,NA,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,MUNICIPAL_REFERENDUM QUESTION_DEEDS,NO,NA,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,YES,NA,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,SCHOOL DISTRICTS_REFERENDUM QUESTION_NORTHWOOD,NO,NA,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,YES,88,WASHBURN,BEAVER BROOK
T,BEAVERBROOK,SCHOOL DISTRICTS_REFERENDUM QUESTION_SHELL LAKE,NO,52,WASHBURN,BEAVER BROOK
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,KAMALA D. HARRIS / TIM WALZ,137,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DONALD J. TRUMP / JD VANCE,313,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,RANDALL TERRY / STEPHEN BRODEN,0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,JILL STEIN / RUDOLPH WARE,0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CLAUDIA DE LA CRUZ / KARINA GARDA,0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CORNEL WEST / MELINA ABDULLAH,0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHERUNDA LYNN FOX (WRITE-IN),0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,BRIAN KIENITZ (WRITE-IN),0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-I,0,WASHBURN,BIRCHWOOD
T,BIRCHWOOD,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ANDRE' RAMONE MCNEIL, SR. (WRITE-IN)",0,WASHBURN,BIRCHWOOD
