contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF LINCOLN,0,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF MAXVILLE,0,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF MILTON,0,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF MODENA,0,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF MONDOVI,0,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF MONTANA,0,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF NAPLES,1,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF NELSON,4,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF WAUMANDEE,1,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,VILLAGE OF COCHRANE,1,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,VILLAGE OF NELSON,0,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,CITY OF ALMA W1&2,0,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,CITY OF BUFFALO CITY,1,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,CITY OF FOUNTAIN CITY W1&2,2,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,CITY OF MONDOVI W13,3,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF ALMA,0,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF BELVIDERE,0,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF BUFFALO,1,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF CANTON,0,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF CROSS,0,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF DOVER,0,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF GILMANTON,0,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF GLENCOE,0,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF LINCOLN,0,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF MAXVILLE,0,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF MILTON,0,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF MODENA,0,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF MONDOVI,0,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF MONTANA,0,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF NAPLES,0,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF NELSON,0,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF WAUMANDEE,1,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,VILLAGE OF COCHRANE,0,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,VILLAGE OF NELSON,0,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF ALMA W1&2,0,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF BUFFALO CITY,0,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF FOUNTAIN CITY W1&2,0,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,SOCIALISM AND LIBERATION CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF MONDOVI W13,0,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF ALMA,0,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF BELVIDERE,0,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF BUFFALO,1,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF CANTON,0,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF CROSS,0,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF DOVER,0,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF GILMANTON,0,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF GLENCOE,0,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF LINCOLN,0,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF MAXVILLE,0,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF MILTON,0,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF MODENA,0,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF MONDOVI,0,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF MONTANA,0,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF NAPLES,0,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF NELSON,0,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,TOWN OF WAUMANDEE,0,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,VILLAGE OF COCHRANE,0,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,VILLAGE OF NELSON,0,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,CITY OF ALMA W1&2,0,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,CITY OF BUFFALO CITY,0,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,CITY OF FOUNTAIN CITY W1&2,0,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,JUSTICE FOR ALL CORNEL WEST / MELINA ABDULLAH,CITY OF MONDOVI W13,0,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,"WE THE PEOPLE ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF ALMA,1,BUFFALO,T,ALMA
