reporting_unit,contest,candidate,votes,county,municipality,ctv
ARBOR VITAE - WARDS 1 - 7,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,1621,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,14,VILAS,ARBOR VITAE,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,335,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,482,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,1,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,3,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,1,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",5,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,327,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,472,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,12,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,10,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,U.S. SENATOR,SCATTERING,0,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,307,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,498,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,2,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,303,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,493,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,1,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",294,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,513,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,1,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,533,VILAS,BOULDER JUNCTION,T
BOULDER JUNCTION - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,9,VILAS,BOULDER JUNCTION,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,270,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,574,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",6,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,1,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,271,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,563,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,7,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,2,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,U.S. SENATOR,SCATTERING,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,244,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,593,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,245,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,586,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",237,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,604,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,610,VILAS,CLOVERLAND,T
CLOVERLAND - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,5,VILAS,CLOVERLAND,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,330,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,679,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,2,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",6,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,326,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,666,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,12,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,8,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,U.S. SENATOR,SCATTERING,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,296,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,698,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,288,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,697,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",292,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,710,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,707,VILAS,CONOVER,T
CONOVER - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,6,VILAS,CONOVER,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,1079,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,676,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,4,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",4,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,PRESIDENTIAL,SCATTERING,4,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,TAMMY BALDWIN,1053,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,ERIC HOVDE,664,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,PHIL ANDERSON,18,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,THOMAS LEAGER,15,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,U.S. SENATOR,SCATTERING,1,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,971,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,722,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,958,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,718,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",975,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,721,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,1070,VILAS,LAC DU FLAMBEAU,T
LAC DU FLAMBEAU - WARDS 1 - 7,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,10,VILAS,LAC DU FLAMBEAU,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,217,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,479,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,3,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),1,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,215,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,468,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,10,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,8,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,U.S. SENATOR,SCATTERING,1,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,187,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,496,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,192,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,489,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",187,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,499,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,2,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,501,VILAS,LAND O'LAKES,T
LAND O'LAKES - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,6,VILAS,LAND O'LAKES,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,618,VILAS,LINCOLN,T
