municipality,reporting_unit,contest,candidate,votes,county,ctv
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,5,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,JILL STEIN RUDOLPH WARE,3,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",5,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,SCATTERING,1,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,KAMALA D. HARRIS TIM WALZ,644,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,DONALD J. TRUMP JD VANCE,1160,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,3,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,4,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",5,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
DAYTON,TOWN OF DAYTON WARDS 1-4,PRESIDENT,SCATTERING,0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,KAMALA D. HARRIS TIM WALZ,75,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,DONALD J. TRUMP JD VANCE,290,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,JILL STEIN RUDOLPH WARE,0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,1,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",2,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
DUPONT,TOWN OF DUPONT WARDS 1-2,PRESIDENT,SCATTERING,0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,KAMALA D. HARRIS TIM WALZ,940,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,DONALD J. TRUMP JD VANCE,1327,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,3,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,9,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,JILL STEIN RUDOLPH WARE,3,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,CORNEL WEST MELINA ABDULLAH,1,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",12,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
FARMINGTON,TOWN OF FARMINGTON WARDS 1-6,PRESIDENT,SCATTERING,3,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,KAMALA D. HARRIS TIM WALZ,115,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,DONALD J. TRUMP JD VANCE,325,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
FREMONT,TOWN OF FREMONT WARDS 1-2,PRESIDENT,SCATTERING,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,KAMALA D. HARRIS TIM WALZ,80,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,DONALD J. TRUMP JD VANCE,220,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,JILL STEIN RUDOLPH WARE,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),1,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
HARRISON,TOWN OF HARRISON WARD 1,PRESIDENT,SCATTERING,0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,KAMALA D. HARRIS TIM WALZ,126,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,DONALD J. TRUMP JD VANCE,350,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,2,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",4,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
HELVETIA,TOWN OF HELVETIA WARDS 1-2,PRESIDENT,SCATTERING,1,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,KAMALA D. HARRIS TIM WALZ,205,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,DONALD J. TRUMP JD VANCE,455,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,JILL STEIN RUDOLPH WARE,0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",3,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
IOLA,TOWN OF IOLA WARDS 1-2,PRESIDENT,SCATTERING,0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,KAMALA D. HARRIS TIM WALZ,228,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,DONALD J. TRUMP JD VANCE,568,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",5,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
LARRABEE,TOWN OF LARRABEE WARDS 1-3,PRESIDENT,SCATTERING,2,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,KAMALA D. HARRIS TIM WALZ,286,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,DONALD J. TRUMP JD VANCE,718,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,2,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,JILL STEIN RUDOLPH WARE,5,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,2,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,CORNEL WEST MELINA ABDULLAH,1,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",2,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
LEBANON,TOWN OF LEBANON WARDS 1-3,PRESIDENT,SCATTERING,1,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,KAMALA D. HARRIS TIM WALZ,266,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,DONALD J. TRUMP JD VANCE,716,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,5,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,1,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",4,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
LIND,TOWN OF LIND WARDS 1-3,PRESIDENT,SCATTERING,1,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,KAMALA D. HARRIS TIM WALZ,161,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,DONALD J. TRUMP JD VANCE,701,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,JILL STEIN RUDOLPH WARE,1,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",4,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
LITTLE WOLF,TOWN OF LITTLE WOLF WARDS 1-3,PRESIDENT,SCATTERING,3,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,KAMALA D. HARRIS TIM WALZ,148,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,DONALD J. TRUMP JD VANCE,452,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,2,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,2,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,JILL STEIN RUDOLPH WARE,2,WAUPACA,T
MATTESON,TOWN OF MATTESON WARD 1,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
