ctv,reporting_unit,contest,candidate,votes,county,municipality
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,SCATTERING,0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,TAMMY BALDWIN (DEMOCRATIC),134,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,ERIC HOVDE (REPUBLICAN),358,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),5,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,THOMAS LEAGER (AMERICA FIRST),3,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,REG WRITE-IN JOHN SCHIESS (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",US SENATOR,SCATTERING,0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REP IN CONGRESS DISTRICT 3,REBECCA COOKE (DEMOCRATIC),143,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REP IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN (REPUBLICAN),350,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REP IN CONGRESS DISTRICT 3,SCATTERING,0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,KYLE KILBOURN (DEMOCRATICC),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,TOM TIFFANY (REPUBLICAN),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,SCATTERING,NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 24,COLLIN MCNAMARA (DEMOCRATIC),111,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 24,PATRICK TESTIN (REPUBLICAN),379,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 24,SCATTERING,0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 32,BRAD PFAFF (DEMOCRATIC),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 32,STACY KLEIN (REPUBLICAN),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE SENATOR - DIST 32,SCATTERING,NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,REMY GOMEZ (DEMOCRATIC),101,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,NANCY LYNN VANDERMEER (REPUBLICAN),397,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,SCATTERING,0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,JILL BILLINGS (DEMOCRATIC),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,CEDRIC SCHNITZLER (REPUBLICAN),NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,SCATTERING,NA,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",DISTRICT ATTORNEY,KEVIN CRONINGER (REPUBLICAN),448,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",DISTRICT ATTORNEY,SCATTERING,7,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",COUNTY CLERK,SHELLEY R. BOHL (REPUBLICAN),457,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",COUNTY CLERK,SCATTERING,4,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",TREASURER,MINDY HEMMERSBACH (REPUBLICAN),461,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",TREASURER,SCATTERING,4,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REGISTER OF DEEDS,DEB BRANDT (REPUBLICAN),458,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",REGISTER OF DEEDS,SCATTERING,4,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE REFERENDA,YES,422,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",STATE REFERENDA,NO,65,MONROE,ADRIAN
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),252,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE (REPUBLICAN),565,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/ MIKE TER MAAT (LIBERTARIAN),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,JILL STEIN/ RUDOLPH WARE (WISCONSIN GREEN),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY OF SOCIALISM AND LIBERATION),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,CORNEL WEST/ MELINA ABDULLAH (JUSTICE FOR ALL),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,ROBERT F. KENNEDY JR./ NICOLE SHANAHAN (WE THE PEOPLE),6,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN PETER SONSKI / LAUREN ONAK (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN CHERUNDA LYNN FOX (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN BRIAN KIENITZ (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN DOUG JENKINS / KIMBERLY LALONDE (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,"REG WRITE-IN ANDRE RAMONE MCNEIL, SR. (INDEPENDENT)",0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",PRESIDENT/VICE PRESIDENT,SCATTERING,2,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,TAMMY BALDWIN (DEMOCRATIC),251,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,ERIC HOVDE (REPUBLICAN),550,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),14,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,THOMAS LEAGER (AMERICA FIRST),7,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,REG WRITE-IN JOHN SCHIESS (INDEPENDENT),0,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",US SENATOR,SCATTERING,2,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REP IN CONGRESS DISTRICT 3,REBECCA COOKE (DEMOCRATIC),274,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REP IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN (REPUBLICAN),539,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REP IN CONGRESS DISTRICT 3,SCATTERING,2,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,KYLE KILBOURN (DEMOCRATICC),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,TOM TIFFANY (REPUBLICAN),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,SCATTERING,NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 24,COLLIN MCNAMARA (DEMOCRATIC),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 24,PATRICK TESTIN (REPUBLICAN),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 24,SCATTERING,NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 32,BRAD PFAFF (DEMOCRATIC),274,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 32,STACY KLEIN (REPUBLICAN),534,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE SENATOR - DIST 32,SCATTERING,4,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,REMY GOMEZ (DEMOCRATIC),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,NANCY LYNN VANDERMEER (REPUBLICAN),NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,SCATTERING,NA,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,JILL BILLINGS (DEMOCRATIC),226,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,CEDRIC SCHNITZLER (REPUBLICAN),586,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,SCATTERING,4,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",DISTRICT ATTORNEY,KEVIN CRONINGER (REPUBLICAN),686,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",DISTRICT ATTORNEY,SCATTERING,31,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",COUNTY CLERK,SHELLEY R. BOHL (REPUBLICAN),717,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",COUNTY CLERK,SCATTERING,14,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",TREASURER,MINDY HEMMERSBACH (REPUBLICAN),718,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",TREASURER,SCATTERING,10,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REGISTER OF DEEDS,DEB BRANDT (REPUBLICAN),710,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",REGISTER OF DEEDS,SCATTERING,14,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE REFERENDA,YES,689,MONROE,ANGELO
T,"T ANGELO WARDS 1,2",STATE REFERENDA,NO,110,MONROE,ANGELO
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),223,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE (REPUBLICAN),474,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),2,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/ MIKE TER MAAT (LIBERTARIAN),1,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,JILL STEIN/ RUDOLPH WARE (WISCONSIN GREEN),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY OF SOCIALISM AND LIBERATION),1,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,CORNEL WEST/ MELINA ABDULLAH (JUSTICE FOR ALL),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,ROBERT F. KENNEDY JR./ NICOLE SHANAHAN (WE THE PEOPLE),3,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN PETER SONSKI / LAUREN ONAK (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN CHERUNDA LYNN FOX (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN BRIAN KIENITZ (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN DOUG JENKINS / KIMBERLY LALONDE (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,"REG WRITE-IN ANDRE RAMONE MCNEIL, SR. (INDEPENDENT)",0,MONROE,BYRON
T,"T BYRON WARDS 1,2",PRESIDENT/VICE PRESIDENT,SCATTERING,2,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,TAMMY BALDWIN (DEMOCRATIC),233,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,ERIC HOVDE (REPUBLICAN),439,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),16,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,THOMAS LEAGER (AMERICA FIRST),13,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,REG WRITE-IN JOHN SCHIESS (INDEPENDENT),0,MONROE,BYRON
T,"T BYRON WARDS 1,2",US SENATOR,SCATTERING,0,MONROE,BYRON
T,"T BYRON WARDS 1,2",REP IN CONGRESS DISTRICT 3,REBECCA COOKE (DEMOCRATIC),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REP IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN (REPUBLICAN),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REP IN CONGRESS DISTRICT 3,SCATTERING,NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,KYLE KILBOURN (DEMOCRATICC),217,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,TOM TIFFANY (REPUBLICAN),452,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE IN CONGRESS - DIST 7,SCATTERING,0,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 24,COLLIN MCNAMARA (DEMOCRATIC),205,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 24,PATRICK TESTIN (REPUBLICAN),467,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 24,SCATTERING,0,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 32,BRAD PFAFF (DEMOCRATIC),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 32,STACY KLEIN (REPUBLICAN),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE SENATOR - DIST 32,SCATTERING,NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,REMY GOMEZ (DEMOCRATIC),195,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,NANCY LYNN VANDERMEER (REPUBLICAN),493,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 70,SCATTERING,0,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,JILL BILLINGS (DEMOCRATIC),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,CEDRIC SCHNITZLER (REPUBLICAN),NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",REPRESENTATIVE TO THE ASSEMBLY - DIST 95,SCATTERING,NA,MONROE,BYRON
T,"T BYRON WARDS 1,2",DISTRICT ATTORNEY,KEVIN CRONINGER (REPUBLICAN),584,MONROE,BYRON
T,"T BYRON WARDS 1,2",DISTRICT ATTORNEY,SCATTERING,18,MONROE,BYRON
T,"T BYRON WARDS 1,2",COUNTY CLERK,SHELLEY R. BOHL (REPUBLICAN),621,MONROE,BYRON
T,"T BYRON WARDS 1,2",COUNTY CLERK,SCATTERING,6,MONROE,BYRON
T,"T BYRON WARDS 1,2",TREASURER,MINDY HEMMERSBACH (REPUBLICAN),616,MONROE,BYRON
T,"T BYRON WARDS 1,2",TREASURER,SCATTERING,6,MONROE,BYRON
T,"T BYRON WARDS 1,2",REGISTER OF DEEDS,DEB BRANDT (REPUBLICAN),616,MONROE,BYRON
T,"T BYRON WARDS 1,2",REGISTER OF DEEDS,SCATTERING,6,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE REFERENDA,YES,590,MONROE,BYRON
T,"T BYRON WARDS 1,2",STATE REFERENDA,NO,98,MONROE,BYRON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),88,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE (REPUBLICAN),161,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),1,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/ MIKE TER MAAT (LIBERTARIAN),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,JILL STEIN/ RUDOLPH WARE (WISCONSIN GREEN),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY OF SOCIALISM AND LIBERATION),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,CORNEL WEST/ MELINA ABDULLAH (JUSTICE FOR ALL),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,ROBERT F. KENNEDY JR./ NICOLE SHANAHAN (WE THE PEOPLE),4,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,REG WRITE-IN PETER SONSKI / LAUREN ONAK (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,REG WRITE-IN CHERUNDA LYNN FOX (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,REG WRITE-IN BRIAN KIENITZ (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,REG WRITE-IN DOUG JENKINS / KIMBERLY LALONDE (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,REG WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,"REG WRITE-IN ANDRE RAMONE MCNEIL, SR. (INDEPENDENT)",0,MONROE,CLIFTON
T,T CLIFTON WARDS,PRESIDENT/VICE PRESIDENT,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,TAMMY BALDWIN (DEMOCRATIC),90,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,ERIC HOVDE (REPUBLICAN),151,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),7,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,THOMAS LEAGER (AMERICA FIRST),4,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,REG WRITE-IN JOHN SCHIESS (INDEPENDENT),0,MONROE,CLIFTON
T,T CLIFTON WARDS,US SENATOR,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,REP IN CONGRESS DISTRICT 3,REBECCA COOKE (DEMOCRATIC),96,MONROE,CLIFTON
T,T CLIFTON WARDS,REP IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN (REPUBLICAN),154,MONROE,CLIFTON
T,T CLIFTON WARDS,REP IN CONGRESS DISTRICT 3,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE IN CONGRESS - DIST 7,KYLE KILBOURN (DEMOCRATICC),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE IN CONGRESS - DIST 7,TOM TIFFANY (REPUBLICAN),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE IN CONGRESS - DIST 7,SCATTERING,NA,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 24,COLLIN MCNAMARA (DEMOCRATIC),81,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 24,PATRICK TESTIN (REPUBLICAN),162,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 24,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 32,BRAD PFAFF (DEMOCRATIC),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 32,STACY KLEIN (REPUBLICAN),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE SENATOR - DIST 32,SCATTERING,NA,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 70,REMY GOMEZ (DEMOCRATIC),78,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 70,NANCY LYNN VANDERMEER (REPUBLICAN),170,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 70,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 95,JILL BILLINGS (DEMOCRATIC),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 95,CEDRIC SCHNITZLER (REPUBLICAN),NA,MONROE,CLIFTON
T,T CLIFTON WARDS,REPRESENTATIVE TO THE ASSEMBLY - DIST 95,SCATTERING,NA,MONROE,CLIFTON
T,T CLIFTON WARDS,DISTRICT ATTORNEY,KEVIN CRONINGER (REPUBLICAN),205,MONROE,CLIFTON
T,T CLIFTON WARDS,DISTRICT ATTORNEY,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,COUNTY CLERK,SHELLEY R. BOHL (REPUBLICAN),211,MONROE,CLIFTON
T,T CLIFTON WARDS,COUNTY CLERK,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,TREASURER,MINDY HEMMERSBACH (REPUBLICAN),207,MONROE,CLIFTON
T,T CLIFTON WARDS,TREASURER,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,REGISTER OF DEEDS,DEB BRANDT (REPUBLICAN),211,MONROE,CLIFTON
T,T CLIFTON WARDS,REGISTER OF DEEDS,SCATTERING,0,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE REFERENDA,YES,182,MONROE,CLIFTON
T,T CLIFTON WARDS,STATE REFERENDA,NO,55,MONROE,CLIFTON
T,T GLENDALE WARDS,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),114,MONROE,GLENDALE
T,T GLENDALE WARDS,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE (REPUBLICAN),283,MONROE,GLENDALE
T,T GLENDALE WARDS,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),0,MONROE,GLENDALE
T,T GLENDALE WARDS,PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/ MIKE TER MAAT (LIBERTARIAN),1,MONROE,GLENDALE
T,T GLENDALE WARDS,PRESIDENT/VICE PRESIDENT,JILL STEIN/ RUDOLPH WARE (WISCONSIN GREEN),0,MONROE,GLENDALE
