reporting_unit,contest,candidate,votes,county,municipality,ctv
"ALVIN, WARD 1",SCHOOL_REFERENDUM,YES,NA,FOREST,ALVIN,T
"ALVIN, WARD 1",SCHOOL_REFERENDUM,NO,NA,FOREST,ALVIN,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),83,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),244,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),1,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),96,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),218,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),2,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),9,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),74,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),248,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),75,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),240,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),73,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),243,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),238,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,1,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),269,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_COUNTY CLERK,SCATTERING,5,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),291,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),289,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",STATE_REFERENDUM,YES,279,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",STATE_REFERENDUM,NO,41,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",SCHOOL_REFERENDUM,YES,NA,FOREST,ARGONNE,T
"ARGONNE, WARDS 1 & 2",SCHOOL_REFERENDUM,NO,NA,FOREST,ARGONNE,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),86,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),213,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),86,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),207,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),6,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),1,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),81,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),211,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),86,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),203,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),73,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),216,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),208,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,2,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),247,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,2,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),252,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,2,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),251,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,2,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",STATE_REFERENDUM,YES,251,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",STATE_REFERENDUM,NO,46,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",SCHOOL_REFERENDUM,YES,146,FOREST,ARMSTRONG CREEK,T
"ARMSTRONG CREEK, WARD 1",SCHOOL_REFERENDUM,NO,148,FOREST,ARMSTRONG CREEK,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),31,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),87,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",1,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),32,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),74,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),4,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),5,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),29,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),80,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),26,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),83,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),30,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),77,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),86,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),101,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),100,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),101,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",STATE_REFERENDUM,YES,105,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",STATE_REFERENDUM,NO,8,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",SCHOOL_REFERENDUM,YES,NA,FOREST,BLACKWELL,T
"BLACKWELL, WARD 1",SCHOOL_REFERENDUM,NO,NA,FOREST,BLACKWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),13,FOREST,CASWELL,T
