contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF FLAMBEAU,273,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF GEORGETOWN,66,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF HACKETT,88,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF HARMONY,95,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF HILL,179,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF KENNAN,147,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF KNOX,147,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF LAKE,467,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF OGEMA,339,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF PRENTICE,201,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF SPIRIT,160,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF WORCESTER,736,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,CITY OF PARK FALLS,2,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,CITY OF PHILLIPS,1,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,VILLAGE OF CATAWBA,NA,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,VILLAGE OF PRENTICE,0,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF EISENSTEIN,1,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF ELK,1,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF FIFIELD WARD 1,1,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF FLAMBEAU,NA,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF GEORGETOWN,NA,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF HARMONY,0,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF HILL,NA,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF KENNAN,1,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF KNOX,NA,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF LAKE,1,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF OGEMA,1,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF PRENTICE,2,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF SPIRIT,NA,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,TOWN OF WORCESTER,NA,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF PARK FALLS,3,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF PHILLIPS,1,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,VILLAGE OF CATAWBA,1,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,VILLAGE OF PRENTICE,1,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF EISENSTEIN,NA,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF ELK,2,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF FIFIELD WARD 1,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF FLAMBEAU,NA,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF GEORGETOWN,NA,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF HARMONY,1,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF HILL,NA,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF KENNAN,NA,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF KNOX,NA,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF LAKE,1,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF OGEMA,3,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF PRENTICE,NA,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF SPIRIT,2,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF WORCESTER,2,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,CITY OF PARK FALLS,3,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,CITY OF PHILLIPS,NA,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,VILLAGE OF CATAWBA,NA,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,VILLAGE OF PRENTICE,NA,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF EISENSTEIN,1,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF ELK,4,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF FIFIELD WARD 1,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF FLAMBEAU,NA,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF GEORGETOWN,NA,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF HARMONY,NA,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF HILL,1,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF KENNAN,1,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF KNOX,NA,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF LAKE,NA,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF OGEMA,1,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF PRENTICE,NA,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF SPIRIT,1,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,TOWN OF WORCESTER,1,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF PARK FALLS,NA,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,CITY OF PHILLIPS,NA,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,VILLAGE OF CATAWBA,1,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,VILLAGE OF PRENTICE,NA,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF EISENSTEIN,NA,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF ELK,NA,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF FIFIELD WARD 1,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF FLAMBEAU,NA,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF GEORGETOWN,NA,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF HARMONY,NA,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF HILL,NA,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF KENNAN,NA,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF KNOX,NA,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF LAKE,1,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF OGEMA,NA,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF PRENTICE,NA,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF SPIRIT,NA,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,TOWN OF WORCESTER,NA,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,CITY OF PARK FALLS,NA,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,CITY OF PHILLIPS,1,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,VILLAGE OF CATAWBA,NA,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,VILLAGE OF PRENTICE,NA,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF EISENSTEIN,NA,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF ELK,NA,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF FIFIELD WARD 1,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF FLAMBEAU,NA,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF GEORGETOWN,NA,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF HARMONY,NA,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF HILL,NA,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF KENNAN,NA,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF KNOX,NA,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF LAKE,NA,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF OGEMA,NA,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF PRENTICE,NA,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF SPIRIT,NA,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,TOWN OF WORCESTER,1,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",CITY OF PARK FALLS,NA,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",CITY OF PHILLIPS,4,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",VILLAGE OF CATAWBA,NA,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",VILLAGE OF KENNAN,1,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",VILLAGE OF PRENTICE,1,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF CATAWBA,2,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF EISENSTEIN,3,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF ELK,7,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF EMERY,NA,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF FIFIELD WARD 1,1,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF FIFIELD WARD 2,NA,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF FLAMBEAU,1,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF GEORGETOWN,1,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF HACKETT,NA,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF HARMONY,NA,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF HILL,1,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF KENNAN,NA,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF KNOX,1,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF LAKE,3,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF OGEMA,1,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF PRENTICE,3,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF SPIRIT,NA,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",TOWN OF WORCESTER,5,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),CITY OF PARK FALLS,NA,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),CITY OF PHILLIPS,NA,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),VILLAGE OF CATAWBA,NA,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),VILLAGE OF KENNAN,NA,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),VILLAGE OF PRENTICE,NA,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),TOWN OF CATAWBA,NA,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),TOWN OF EISENSTEIN,NA,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),TOWN OF ELK,NA,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK (REG. WRITE-IN),TOWN OF EMERY,NA,PRICE,T,EMERY
