reporting_unit,contest,votes,candidate,county,ctv,municipality
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,BLOOMFIELD
T COLOMA,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,157,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,302,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,1,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,1,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,COLOMA
T COLOMA,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",1,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,COLOMA
T COLOMA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,COLOMA
T COLOMA,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,COLOMA
T DAKOTA,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,201,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,426,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,1,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,DAKOTA
T DAKOTA,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",1,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,DAKOTA
T DAKOTA,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,DAKOTA
T DAKOTA,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,DAKOTA
T DEERFIELD,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,189,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,312,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,2,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,DEERFIELD
T DEERFIELD,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,DEERFIELD
T DEERFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,DEERFIELD
T DEERFIELD,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,DEERFIELD
T HANCOCK,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,106,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,252,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,2,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,HANCOCK
T HANCOCK,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",0,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,HANCOCK
T HANCOCK,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,HANCOCK
T HANCOCK,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,HANCOCK
T LEON,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,299,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,697,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,2,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,2,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,4,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,LEON
T LEON,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,LEON
T LEON,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,LEON
T LEON,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,LEON
T LEON,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,LEON
T LEON,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,LEON
T MARION,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,447,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,920,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,4,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,2,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,MARION
T MARION,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",9,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,MARION
T MARION,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,MARION
T MARION,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,MARION
T MARION,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,MARION
T MARION,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,MARION
T MT MORRIS,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,271,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,566,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,2,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,2,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,MOUNT MORRIS
