candidate,votes,contest,reporting_unit,municipality,ctv,county
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
TAMMY BALDWIN DEMOCRATIC,122,UNITED STATES SENATOR,KIMBALL,KIMBALL,T,IRON
ERIC HOVDE REPUBLICAN,222,UNITED STATES SENATOR,KIMBALL,KIMBALL,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,4,UNITED STATES SENATOR,KIMBALL,KIMBALL,T,IRON
THOMAS LEAGER AMERICA FIRST,3,UNITED STATES SENATOR,KIMBALL,KIMBALL,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,KIMBALL,KIMBALL,T,IRON
KYLE KILBOURN DEMOCRATIC,117,REPRESENTATIVE IN CONGRESS DISTRICT 7,KIMBALL,KIMBALL,T,IRON
TOM TIFFANY REPUBLICAN,224,REPRESENTATIVE IN CONGRESS DISTRICT 7,KIMBALL,KIMBALL,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,KIMBALL,KIMBALL,T,IRON
JEANNE RAND BRUCE DEMOCATIC,116,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KIMBALL,KIMBALL,T,IRON
CHANZ J GREEN REPUBLICAN,222,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KIMBALL,KIMBALL,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KIMBALL,KIMBALL,T,IRON
MATTHEW J. TINGSTAD,277,DISTRICT ATTORNEY,KIMBALL,KIMBALL,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,KIMBALL,KIMBALL,T,IRON
YES,276,STATE QUESTION 1,KIMBALL,KIMBALL,T,IRON
NO,65,STATE QUESTION 1,KIMBALL,KIMBALL,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,39,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,88,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,1,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,KNIGHT,KNIGHT,T,IRON
TAMMY BALDWIN DEMOCRATIC,42,UNITED STATES SENATOR,KNIGHT,KNIGHT,T,IRON
ERIC HOVDE REPUBLICAN,85,UNITED STATES SENATOR,KNIGHT,KNIGHT,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,0,UNITED STATES SENATOR,KNIGHT,KNIGHT,T,IRON
THOMAS LEAGER AMERICA FIRST,0,UNITED STATES SENATOR,KNIGHT,KNIGHT,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,KNIGHT,KNIGHT,T,IRON
KYLE KILBOURN DEMOCRATIC,37,REPRESENTATIVE IN CONGRESS DISTRICT 7,KNIGHT,KNIGHT,T,IRON
TOM TIFFANY REPUBLICAN,85,REPRESENTATIVE IN CONGRESS DISTRICT 7,KNIGHT,KNIGHT,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,KNIGHT,KNIGHT,T,IRON
JEANNE RAND BRUCE DEMOCATIC,37,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KNIGHT,KNIGHT,T,IRON
CHANZ J GREEN REPUBLICAN,86,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KNIGHT,KNIGHT,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,KNIGHT,KNIGHT,T,IRON
MATTHEW J. TINGSTAD,102,DISTRICT ATTORNEY,KNIGHT,KNIGHT,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,KNIGHT,KNIGHT,T,IRON
YES,104,STATE QUESTION 1,KNIGHT,KNIGHT,T,IRON
NO,17,STATE QUESTION 1,KNIGHT,KNIGHT,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,416,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,771,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,1,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,2,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",6,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
WRITE - IN,1,PRESIDENT/VICE PRESIDENT,MERCER,MERCER,T,IRON
TAMMY BALDWIN DEMOCRATIC,423,UNITED STATES SENATOR,MERCER,MERCER,T,IRON
ERIC HOVDE REPUBLICAN,742,UNITED STATES SENATOR,MERCER,MERCER,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,9,UNITED STATES SENATOR,MERCER,MERCER,T,IRON
THOMAS LEAGER AMERICA FIRST,8,UNITED STATES SENATOR,MERCER,MERCER,T,IRON
WRITE -IN,2,UNITED STATES SENATOR,MERCER,MERCER,T,IRON
KYLE KILBOURN DEMOCRATIC,376,REPRESENTATIVE IN CONGRESS DISTRICT 7,MERCER,MERCER,T,IRON
TOM TIFFANY REPUBLICAN,789,REPRESENTATIVE IN CONGRESS DISTRICT 7,MERCER,MERCER,T,IRON
WRITE-IN,1,REPRESENTATIVE IN CONGRESS DISTRICT 7,MERCER,MERCER,T,IRON
JEANNE RAND BRUCE DEMOCATIC,382,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MERCER,MERCER,T,IRON
CHANZ J GREEN REPUBLICAN,780,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MERCER,MERCER,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MERCER,MERCER,T,IRON
MATTHEW J. TINGSTAD,941,DISTRICT ATTORNEY,MERCER,MERCER,T,IRON
WRITE-IN,25,DISTRICT ATTORNEY,MERCER,MERCER,T,IRON
YES,886,STATE QUESTION 1,MERCER,MERCER,T,IRON
NO,260,STATE QUESTION 1,MERCER,MERCER,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,87,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,182,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",2,PRESIDENT/VICE PRESIDENT,OMA,OMA,T,IRON
TAMMY BALDWIN DEMOCRATIC,91,UNITED STATES SENATOR,OMA,OMA,T,IRON
ERIC HOVDE REPUBLICAN,171,UNITED STATES SENATOR,OMA,OMA,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,6,UNITED STATES SENATOR,OMA,OMA,T,IRON
THOMAS LEAGER AMERICA FIRST,1,UNITED STATES SENATOR,OMA,OMA,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,OMA,OMA,T,IRON
KYLE KILBOURN DEMOCRATIC,83,REPRESENTATIVE IN CONGRESS DISTRICT 7,OMA,OMA,T,IRON
TOM TIFFANY REPUBLICAN,187,REPRESENTATIVE IN CONGRESS DISTRICT 7,OMA,OMA,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,OMA,OMA,T,IRON
JEANNE RAND BRUCE DEMOCATIC,83,REPRESENTATIVE TO THE ASSEMBLY DIST 74,OMA,OMA,T,IRON
CHANZ J GREEN REPUBLICAN,186,REPRESENTATIVE TO THE ASSEMBLY DIST 74,OMA,OMA,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,OMA,OMA,T,IRON
MATTHEW J. TINGSTAD,206,DISTRICT ATTORNEY,OMA,OMA,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,OMA,OMA,T,IRON
YES,218,STATE QUESTION 1,OMA,OMA,T,IRON
NO,47,STATE QUESTION 1,OMA,OMA,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,38,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,75,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,PENCE,PENCE,T,IRON
TAMMY BALDWIN DEMOCRATIC,40,UNITED STATES SENATOR,PENCE,PENCE,T,IRON
ERIC HOVDE REPUBLICAN,66,UNITED STATES SENATOR,PENCE,PENCE,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,3,UNITED STATES SENATOR,PENCE,PENCE,T,IRON
THOMAS LEAGER AMERICA FIRST,1,UNITED STATES SENATOR,PENCE,PENCE,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,PENCE,PENCE,T,IRON
KYLE KILBOURN DEMOCRATIC,38,REPRESENTATIVE IN CONGRESS DISTRICT 7,PENCE,PENCE,T,IRON
TOM TIFFANY REPUBLICAN,70,REPRESENTATIVE IN CONGRESS DISTRICT 7,PENCE,PENCE,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,PENCE,PENCE,T,IRON
JEANNE RAND BRUCE DEMOCATIC,39,REPRESENTATIVE TO THE ASSEMBLY DIST 74,PENCE,PENCE,T,IRON
CHANZ J GREEN REPUBLICAN,69,REPRESENTATIVE TO THE ASSEMBLY DIST 74,PENCE,PENCE,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,PENCE,PENCE,T,IRON
MATTHEW J. TINGSTAD,96,DISTRICT ATTORNEY,PENCE,PENCE,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,PENCE,PENCE,T,IRON
YES,81,STATE QUESTION 1,PENCE,PENCE,T,IRON
NO,26,STATE QUESTION 1,PENCE,PENCE,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,75,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,157,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,1,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,1,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,SAXON,SAXON,T,IRON
TAMMY BALDWIN DEMOCRATIC,78,UNITED STATES SENATOR,SAXON,SAXON,T,IRON
ERIC HOVDE REPUBLICAN,154,UNITED STATES SENATOR,SAXON,SAXON,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,2,UNITED STATES SENATOR,SAXON,SAXON,T,IRON
THOMAS LEAGER AMERICA FIRST,1,UNITED STATES SENATOR,SAXON,SAXON,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,SAXON,SAXON,T,IRON
KYLE KILBOURN DEMOCRATIC,69,REPRESENTATIVE IN CONGRESS DISTRICT 7,SAXON,SAXON,T,IRON
TOM TIFFANY REPUBLICAN,164,REPRESENTATIVE IN CONGRESS DISTRICT 7,SAXON,SAXON,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,SAXON,SAXON,T,IRON
JEANNE RAND BRUCE DEMOCATIC,75,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SAXON,SAXON,T,IRON
CHANZ J GREEN REPUBLICAN,157,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SAXON,SAXON,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SAXON,SAXON,T,IRON
MATTHEW J. TINGSTAD,191,DISTRICT ATTORNEY,SAXON,SAXON,T,IRON
WRITE-IN,6,DISTRICT ATTORNEY,SAXON,SAXON,T,IRON
YES,179,STATE QUESTION 1,SAXON,SAXON,T,IRON
NO,47,STATE QUESTION 1,SAXON,SAXON,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,82,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,136,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,SHERMAN,SHERMAN,T,IRON
TAMMY BALDWIN DEMOCRATIC,85,UNITED STATES SENATOR,SHERMAN,SHERMAN,T,IRON
ERIC HOVDE REPUBLICAN,135,UNITED STATES SENATOR,SHERMAN,SHERMAN,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,2,UNITED STATES SENATOR,SHERMAN,SHERMAN,T,IRON
THOMAS LEAGER AMERICA FIRST,0,UNITED STATES SENATOR,SHERMAN,SHERMAN,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,SHERMAN,SHERMAN,T,IRON
KYLE KILBOURN DEMOCRATIC,79,REPRESENTATIVE IN CONGRESS DISTRICT 7,SHERMAN,SHERMAN,T,IRON
TOM TIFFANY REPUBLICAN,141,REPRESENTATIVE IN CONGRESS DISTRICT 7,SHERMAN,SHERMAN,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,SHERMAN,SHERMAN,T,IRON
JEANNE RAND BRUCE DEMOCATIC,78,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SHERMAN,SHERMAN,T,IRON
