rep_unit_2024,tract_GEOID,l2_count,prop_of_rep_unit_2024
ADAMS - TOWN OF QUINCY WARDS 1-2,55001950400,31,0.040051679586563305
ADAMS - TOWN OF QUINCY WARDS 1-2,55001950501,743,0.9599483204134367
ADAMS - TOWN OF RICHFIELD WARD 1,55001950204,103,1
ADAMS - TOWN OF ROME WARDS 1-4,55001950100,2272,0.9822741028966709
ADAMS - TOWN OF ROME WARDS 1-4,55001950204,41,0.01772589710332901
ADAMS - TOWN OF SPRINGVILLE WARDS 1-2,55001950502,737,1
ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,55001950201,515,0.6950067476383266
ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,55001950203,11,0.014844804318488529
ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,55001950204,211,0.28475033738191635
ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,55001950400,4,0.005398110661268556
ADAMS - VILLAGE OF FRIENDSHIP WARD 1,55001950400,293,1
ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950300,1557,0.3696581196581197
ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950400,1231,0.2922602089268756
ASHLAND - CITY OF ASHLAND WARDS 1-21,55003950800,1424,0.3380816714150047
ASHLAND - CITY OF MELLEN WARD 1,55003950600,361,1
ASHLAND - TOWN OF AGENDA WARD 1,55003950700,249,1
ASHLAND - TOWN OF ASHLAND WARD 1,55003940000,30,0.09615384615384616
ASHLAND - TOWN OF ASHLAND WARD 1,55003950500,268,0.8589743589743589
ASHLAND - TOWN OF ASHLAND WARD 1,55003950600,14,0.04487179487179487
ASHLAND - TOWN OF CHIPPEWA WARD 1,55003950700,229,1
ASHLAND - TOWN OF GINGLES WARDS 1-2,55003940000,67,0.14225053078556263
ASHLAND - TOWN OF GINGLES WARDS 1-2,55003950500,396,0.8407643312101911
ASHLAND - TOWN OF GINGLES WARDS 1-2,55003950800,8,0.016985138004246284
ASHLAND - TOWN OF GORDON WARD 1,55003950600,138,0.8117647058823529
ASHLAND - TOWN OF GORDON WARD 1,55003950700,32,0.18823529411764706
ASHLAND - TOWN OF JACOBS WARDS 1-2,55003950700,354,1
ASHLAND - TOWN OF LA POINTE WARD 1,55003950800,309,1
ASHLAND - TOWN OF MARENGO WARD 1,55003940000,5,0.020080321285140562
ASHLAND - TOWN OF MARENGO WARD 1,55003950500,243,0.9759036144578314
ASHLAND - TOWN OF MARENGO WARD 1,55003950600,1,0.004016064257028112
ASHLAND - TOWN OF MORSE WARDS 1-2,55003940000,64,0.1839080459770115
ASHLAND - TOWN OF MORSE WARDS 1-2,55003950500,2,0.005747126436781609
ASHLAND - TOWN OF MORSE WARDS 1-2,55003950600,282,0.8103448275862069
ASHLAND - TOWN OF PEEKSVILLE WARD 1,55003950700,75,1
ASHLAND - TOWN OF SANBORN WARDS 1-2,55003940000,419,1
ASHLAND - TOWN OF SHANAGOLDEN WARD 1,55003950600,4,0.04938271604938271
ASHLAND - TOWN OF SHANAGOLDEN WARD 1,55003950700,77,0.9506172839506173
ASHLAND - TOWN OF WHITE RIVER WARDS 1-2,55003940000,172,0.33268858800773693
ASHLAND - TOWN OF WHITE RIVER WARDS 1-2,55003950500,345,0.6673114119922631
ASHLAND - VILLAGE OF BUTTERNUT WARD 1,55003950700,191,1
BARRON - CITY OF BARRON WARDS 1-7,55005000400,1518,1
BARRON - CITY OF CHETEK WARDS 1-4,55005001003,513,0.4629963898916967
BARRON - CITY OF CHETEK WARDS 1-4,55005001004,595,0.5370036101083032
BARRON - CITY OF CUMBERLAND WARDS 1-5,55005000200,1217,0.9983593109105825
BARRON - CITY OF CUMBERLAND WARDS 1-5,55005000300,2,0.0016406890894175555
BARRON - CITY OF RICE LAKE WARDS 1-20,55005000400,7,0.0017039922103213243
BARRON - CITY OF RICE LAKE WARDS 1-20,55005000500,2093,0.509493670886076
BARRON - CITY OF RICE LAKE WARDS 1-20,55005000601,795,0.19352482960077896
BARRON - CITY OF RICE LAKE WARDS 1-20,55005000602,1213,0.29527750730282376
BARRON - TOWN OF ALMENA WARDS 1-2,55005000300,525,0.9905660377358491
BARRON - TOWN OF ALMENA WARDS 1-2,55005000900,5,0.009433962264150943
BARRON - TOWN OF ARLAND WARD 1,55005000900,320,1
BARRON - TOWN OF BARRON WARDS 1-2,55005000400,401,0.9950372208436724
BARRON - TOWN OF BARRON WARDS 1-2,55005000900,2,0.004962779156327543
BARRON - TOWN OF BEAR LAKE WARD 1,55005000100,432,1
BARRON - TOWN OF CEDAR LAKE WARDS 1-2,55005000100,764,1
BARRON - TOWN OF CHETEK WARDS 1-3,55005001001,15,0.012975778546712802
BARRON - TOWN OF CHETEK WARDS 1-3,55005001003,307,0.2655709342560554
BARRON - TOWN OF CHETEK WARDS 1-3,55005001004,834,0.7214532871972318
BARRON - TOWN OF CLINTON WARD 1,55005000300,326,0.8787061994609164
BARRON - TOWN OF CLINTON WARD 1,55005000400,11,0.029649595687331536
BARRON - TOWN OF CLINTON WARD 1,55005000900,34,0.09164420485175202
BARRON - TOWN OF CRYSTAL LAKE WARD 1,55005000200,367,0.7693920335429769
BARRON - TOWN OF CRYSTAL LAKE WARD 1,55005000300,110,0.23060796645702306
BARRON - TOWN OF CUMBERLAND WARD 1,55005000100,21,0.03969754253308128
BARRON - TOWN OF CUMBERLAND WARD 1,55005000200,86,0.16257088846880907
BARRON - TOWN OF CUMBERLAND WARD 1,55005000300,395,0.7466918714555766
BARRON - TOWN OF CUMBERLAND WARD 1,55005000400,27,0.05103969754253308
BARRON - TOWN OF DALLAS WARDS 1-2,55005000900,294,1
BARRON - TOWN OF DOVRE WARD 1,55005001001,190,0.4896907216494845
BARRON - TOWN OF DOVRE WARD 1,55005001004,198,0.5103092783505154
BARRON - TOWN OF DOYLE WARDS 1-2,55005000800,319,1
BARRON - TOWN OF LAKELAND WARDS 1-2,55005000100,456,0.75
BARRON - TOWN OF LAKELAND WARDS 1-2,55005000200,152,0.25
BARRON - TOWN OF MAPLE GROVE WARDS 1-2,55005000400,20,0.04065040650406504
BARRON - TOWN OF MAPLE GROVE WARDS 1-2,55005000900,472,0.959349593495935
BARRON - TOWN OF MAPLE PLAIN WARD 1,55005000200,514,1
BARRON - TOWN OF OAK GROVE WARDS 1-2,55005000100,535,1
BARRON - TOWN OF PRAIRIE FARM WARDS 1-2,55005000900,309,0.9967741935483871
BARRON - TOWN OF PRAIRIE FARM WARDS 1-2,55033970100,1,0.0032258064516129032
BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001001,452,0.4542713567839196
BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001003,224,0.22512562814070353
BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,55005001004,319,0.32060301507537686
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000100,182,0.1104368932038835
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000400,172,0.10436893203883495
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000500,72,0.043689320388349516
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000601,314,0.19053398058252427
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000602,594,0.3604368932038835
BARRON - TOWN OF RICE LAKE WARDS 1-4,55005000800,314,0.19053398058252427
BARRON - TOWN OF SIOUX CREEK WARD 1,55005000900,39,0.10236220472440945
BARRON - TOWN OF SIOUX CREEK WARD 1,55005001001,342,0.8976377952755905
BARRON - TOWN OF STANFOLD WARD 1,55005000400,384,1
BARRON - TOWN OF STANLEY WARDS 1-4,55005000400,52,0.03698435277382646
BARRON - TOWN OF STANLEY WARDS 1-4,55005000500,27,0.019203413940256046
BARRON - TOWN OF STANLEY WARDS 1-4,55005000601,29,0.020625889046941678
BARRON - TOWN OF STANLEY WARDS 1-4,55005000800,1047,0.7446657183499289
BARRON - TOWN OF STANLEY WARDS 1-4,55005001001,83,0.05903271692745377
BARRON - TOWN OF STANLEY WARDS 1-4,55005001004,168,0.11948790896159317
BARRON - TOWN OF SUMNER WARD 1,55005000800,419,0.9229074889867841
BARRON - TOWN OF SUMNER WARD 1,55005001004,35,0.07709251101321586
BARRON - TOWN OF TURTLE LAKE WARD 1,55005000300,33,0.09482758620689655
BARRON - TOWN OF TURTLE LAKE WARD 1,55005000900,315,0.9051724137931034
BARRON - TOWN OF VANCE CREEK WARD 1,55005000900,332,1
BARRON - VILLAGE OF ALMENA WARD 1,55005000300,290,1
BARRON - VILLAGE OF CAMERON WARDS 1-3,55005000800,881,0.9977349943374858
BARRON - VILLAGE OF CAMERON WARDS 1-3,55005001004,2,0.0022650056625141564
BARRON - VILLAGE OF DALLAS WARD 1,55005000900,172,1
BARRON - VILLAGE OF HAUGEN WARD 1,55005000100,137,1
BARRON - VILLAGE OF NEW AUBURN WARD 2,55005001004,14,1
BARRON - VILLAGE OF PRAIRIE FARM WARD 1,55005000900,217,1
BARRON - VILLAGE OF TURTLE LAKE WARD 1,55005000300,396,1
BAYFIELD - CITY OF BAYFIELD WARDS 1-4,55007960100,383,1
BAYFIELD - CITY OF WASHBURN WARDS 1-5,55007960300,1252,1
BAYFIELD - TOWN OF BARKSDALE WARDS 1-2,55007960300,423,0.8409542743538767
BAYFIELD - TOWN OF BARKSDALE WARDS 1-2,55007960402,80,0.15904572564612326
BAYFIELD - TOWN OF BARNES WARD 1,55007960401,208,0.3058823529411765
BAYFIELD - TOWN OF BARNES WARD 1,55007960600,472,0.6941176470588235
BAYFIELD - TOWN OF BAYFIELD WARDS 1-2,55007960100,626,1
BAYFIELD - TOWN OF BAYVIEW WARD 1,55007960100,43,0.12573099415204678
BAYFIELD - TOWN OF BAYVIEW WARD 1,55007960300,299,0.8742690058479532
BAYFIELD - TOWN OF BELL WARD 1,55007960100,196,0.7313432835820896
BAYFIELD - TOWN OF BELL WARD 1,55007960200,72,0.26865671641791045
BAYFIELD - TOWN OF CABLE WARD 1,55007960600,622,1
BAYFIELD - TOWN OF CLOVER WARD 1,55007960200,221,1
BAYFIELD - TOWN OF DELTA WARD 1,55007960401,158,0.632
BAYFIELD - TOWN OF DELTA WARD 1,55007960402,92,0.368
BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960401,35,0.09138381201044386
BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960402,123,0.32114882506527415
BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,55007960600,225,0.587467362924282
BAYFIELD - TOWN OF EILEEN WARDS 1-2,55007960402,438,1
BAYFIELD - TOWN OF GRAND VIEW WARD 1,55007960402,242,0.6558265582655827
BAYFIELD - TOWN OF GRAND VIEW WARD 1,55007960600,127,0.34417344173441733
BAYFIELD - TOWN OF HUGHES WARD 1,55007960200,55,0.16666666666666666
BAYFIELD - TOWN OF HUGHES WARD 1,55007960401,275,0.8333333333333334
BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960200,93,0.11327649208282582
BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960401,696,0.8477466504263094
BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,55007960402,32,0.0389768574908648
BAYFIELD - TOWN OF KELLY WARD 1,55007960402,279,1
BAYFIELD - TOWN OF KEYSTONE WARD 1,55007960200,12,0.06153846153846154
BAYFIELD - TOWN OF KEYSTONE WARD 1,55007960402,183,0.9384615384615385
BAYFIELD - TOWN OF LINCOLN WARD 1,55007960402,172,0.9502762430939227
BAYFIELD - TOWN OF LINCOLN WARD 1,55007960600,9,0.049723756906077346
BAYFIELD - TOWN OF MASON WARD 1,55007960402,185,1
BAYFIELD - TOWN OF NAMAKAGON WARD 1,55007960600,271,1
BAYFIELD - TOWN OF ORIENTA WARD 1,55007960200,90,1
BAYFIELD - TOWN OF OULU WARD 1,55007960200,401,1
BAYFIELD - TOWN OF PILSEN WARD 1,55007960200,10,0.07042253521126761
BAYFIELD - TOWN OF PILSEN WARD 1,55007960402,132,0.9295774647887324
BAYFIELD - TOWN OF PORT WING WARD 1,55007960200,273,1
BAYFIELD - TOWN OF RUSSELL WARDS 1-3,55007960100,677,1
BAYFIELD - TOWN OF TRIPP WARD 1,55007960200,139,0.7393617021276596
BAYFIELD - TOWN OF TRIPP WARD 1,55007960401,49,0.26063829787234044
BAYFIELD - TOWN OF WASHBURN WARDS 1-2,55007960300,398,1
BAYFIELD - VILLAGE OF MASON WARD 1,55007960402,56,1
BROWN - CITY OF DE PERE WARDS 1-5,55009010100,3843,0.9823619631901841
BROWN - CITY OF DE PERE WARDS 1-5,55009010300,69,0.01763803680981595
BROWN - CITY OF DE PERE WARDS 10-16,55009010201,1137,0.4369715603382014
BROWN - CITY OF DE PERE WARDS 10-16,55009010202,1465,0.5630284396617986
BROWN - CITY OF DE PERE WARDS 17-23,55009010201,919,0.22208796520058
BROWN - CITY OF DE PERE WARDS 17-23,55009010202,1620,0.3914934751087482
BROWN - CITY OF DE PERE WARDS 17-23,55009940007,1599,0.38641855969067185
BROWN - CITY OF DE PERE WARDS 6-9,55009010100,198,0.0586145648312611
BROWN - CITY OF DE PERE WARDS 6-9,55009010300,2595,0.7682060390763765
BROWN - CITY OF DE PERE WARDS 6-9,55009021400,585,0.17317939609236235
BROWN - CITY OF GREEN BAY WARD 1,55009020100,12,1
BROWN - CITY OF GREEN BAY WARD 10,55009001600,333,0.37331838565022424
BROWN - CITY OF GREEN BAY WARD 10,55009002001,559,0.6266816143497758
BROWN - CITY OF GREEN BAY WARD 11,55009002002,483,1
BROWN - CITY OF GREEN BAY WARD 11A,55009002001,6,0.016574585635359115
BROWN - CITY OF GREEN BAY WARD 11A,55009002002,356,0.9834254143646409
BROWN - CITY OF GREEN BAY WARD 12,55009001600,388,1
BROWN - CITY OF GREEN BAY WARD 12A,55009001600,94,1
BROWN - CITY OF GREEN BAY WARD 13,55009001400,215,0.2508751458576429
BROWN - CITY OF GREEN BAY WARD 13,55009001600,642,0.7491248541423571
BROWN - CITY OF GREEN BAY WARD 14,55009001200,37,0.030756442227763924
BROWN - CITY OF GREEN BAY WARD 14,55009001400,1166,0.969243557772236
BROWN - CITY OF GREEN BAY WARD 15,55009001000,47,0.035338345864661655
BROWN - CITY OF GREEN BAY WARD 15,55009001200,56,0.042105263157894736
BROWN - CITY OF GREEN BAY WARD 15,55009001300,1227,0.9225563909774436
BROWN - CITY OF GREEN BAY WARD 16,55009002001,1112,1
BROWN - CITY OF GREEN BAY WARD 17,55009001702,509,0.8183279742765274
BROWN - CITY OF GREEN BAY WARD 17,55009001801,113,0.18167202572347266
BROWN - CITY OF GREEN BAY WARD 18,55009001100,145,0.19410977242302543
BROWN - CITY OF GREEN BAY WARD 18,55009001702,249,0.3333333333333333
BROWN - CITY OF GREEN BAY WARD 18,55009002001,353,0.4725568942436412
BROWN - CITY OF GREEN BAY WARD 19,55009001400,61,0.07760814249363868
BROWN - CITY OF GREEN BAY WARD 19,55009001600,270,0.3435114503816794
BROWN - CITY OF GREEN BAY WARD 19,55009002001,455,0.5788804071246819
BROWN - CITY OF GREEN BAY WARD 2,55009001802,1691,1
BROWN - CITY OF GREEN BAY WARD 20,55009001701,309,0.3373362445414847
BROWN - CITY OF GREEN BAY WARD 20,55009001702,138,0.15065502183406113
BROWN - CITY OF GREEN BAY WARD 20,55009001801,203,0.22161572052401746
BROWN - CITY OF GREEN BAY WARD 20,55009001802,266,0.2903930131004367
BROWN - CITY OF GREEN BAY WARD 21,55009000900,136,0.17894736842105263
BROWN - CITY OF GREEN BAY WARD 21,55009001100,14,0.018421052631578946
BROWN - CITY OF GREEN BAY WARD 21,55009001701,603,0.7934210526315789
BROWN - CITY OF GREEN BAY WARD 21,55009001702,7,0.009210526315789473
BROWN - CITY OF GREEN BAY WARD 22,55009000900,547,0.9086378737541528
BROWN - CITY OF GREEN BAY WARD 22,55009001100,22,0.036544850498338874
BROWN - CITY OF GREEN BAY WARD 22,55009001802,33,0.054817275747508304
BROWN - CITY OF GREEN BAY WARD 23,55009000900,117,0.6428571428571429
BROWN - CITY OF GREEN BAY WARD 23,55009001100,65,0.35714285714285715
BROWN - CITY OF GREEN BAY WARD 24,55009001100,254,1
BROWN - CITY OF GREEN BAY WARD 25,55009001000,119,0.17894736842105263
BROWN - CITY OF GREEN BAY WARD 25,55009001200,455,0.6842105263157895
BROWN - CITY OF GREEN BAY WARD 25,55009001300,52,0.07819548872180451
BROWN - CITY OF GREEN BAY WARD 25,55009001400,39,0.058646616541353384
BROWN - CITY OF GREEN BAY WARD 26,55009000100,791,1
BROWN - CITY OF GREEN BAY WARD 27,55009000200,671,0.8440251572327044
BROWN - CITY OF GREEN BAY WARD 27,55009000500,124,0.1559748427672956
BROWN - CITY OF GREEN BAY WARD 28,55009000401,439,0.4479591836734694
BROWN - CITY OF GREEN BAY WARD 28,55009000500,182,0.18571428571428572
BROWN - CITY OF GREEN BAY WARD 28,55009000600,308,0.3142857142857143
BROWN - CITY OF GREEN BAY WARD 28,55009000700,51,0.05204081632653061
BROWN - CITY OF GREEN BAY WARD 29,55009000401,492,1
BROWN - CITY OF GREEN BAY WARD 3,55009001802,643,1
BROWN - CITY OF GREEN BAY WARD 30,55009000600,327,0.7282850779510023
BROWN - CITY OF GREEN BAY WARD 30,55009000700,122,0.2717149220489978
BROWN - CITY OF GREEN BAY WARD 31,55009000402,520,0.47882136279926335
BROWN - CITY OF GREEN BAY WARD 31,55009000600,514,0.4732965009208103
BROWN - CITY OF GREEN BAY WARD 31,55009000700,52,0.04788213627992634
BROWN - CITY OF GREEN BAY WARD 32,55009000402,170,0.1642512077294686
BROWN - CITY OF GREEN BAY WARD 32,55009000600,865,0.8357487922705314
BROWN - CITY OF GREEN BAY WARD 33,55009001000,475,1
BROWN - CITY OF GREEN BAY WARD 34,55009000500,571,0.6749408983451537
BROWN - CITY OF GREEN BAY WARD 34,55009000800,275,0.32505910165484636
BROWN - CITY OF GREEN BAY WARD 35,55009000700,692,0.810304449648712
BROWN - CITY OF GREEN BAY WARD 35,55009000800,162,0.18969555035128804
BROWN - CITY OF GREEN BAY WARD 36,55009000700,1079,0.9668458781362007
BROWN - CITY OF GREEN BAY WARD 36,55009000800,37,0.033154121863799284
BROWN - CITY OF GREEN BAY WARD 37,55009000200,1096,1
BROWN - CITY OF GREEN BAY WARD 37A,55009000100,26,1
BROWN - CITY OF GREEN BAY WARD 38,55009000200,937,0.7286158631415242
BROWN - CITY OF GREEN BAY WARD 38,55009000401,182,0.14152410575427682
BROWN - CITY OF GREEN BAY WARD 38,55009000500,167,0.12986003110419908
BROWN - CITY OF GREEN BAY WARD 39,55009000303,109,0.12868949232585597
BROWN - CITY OF GREEN BAY WARD 39,55009000401,738,0.8713105076741441
BROWN - CITY OF GREEN BAY WARD 4,55009001801,1100,1
BROWN - CITY OF GREEN BAY WARD 40,55009000303,722,1
BROWN - CITY OF GREEN BAY WARD 41,55009000302,429,0.6766561514195584
BROWN - CITY OF GREEN BAY WARD 41,55009000303,205,0.32334384858044163
BROWN - CITY OF GREEN BAY WARD 42,55009000302,1006,0.6566579634464752
BROWN - CITY OF GREEN BAY WARD 42,55009000402,526,0.3433420365535248
BROWN - CITY OF GREEN BAY WARD 43,55009000302,396,0.322213181448332
BROWN - CITY OF GREEN BAY WARD 43,55009940004,833,0.677786818551668
BROWN - CITY OF GREEN BAY WARD 44,55009021302,155,0.3229166666666667
BROWN - CITY OF GREEN BAY WARD 44,55009940003,35,0.07291666666666667
BROWN - CITY OF GREEN BAY WARD 44,55009940004,290,0.6041666666666666
BROWN - CITY OF GREEN BAY WARD 45,55009940002,1179,0.7485714285714286
BROWN - CITY OF GREEN BAY WARD 45,55009940003,396,0.25142857142857145
BROWN - CITY OF GREEN BAY WARD 45A,55009940002,66,1
BROWN - CITY OF GREEN BAY WARD 46,55009940002,444,0.36156351791530944
BROWN - CITY OF GREEN BAY WARD 46,55009940003,510,0.4153094462540717
BROWN - CITY OF GREEN BAY WARD 46,55009940004,274,0.22312703583061888
BROWN - CITY OF GREEN BAY WARD 47,55009021302,100,0.05173305742369374
BROWN - CITY OF GREEN BAY WARD 47,55009940002,978,0.5059493016037248
BROWN - CITY OF GREEN BAY WARD 47,55009940003,855,0.44231764097258147
BROWN - CITY OF GREEN BAY WARD 5,55009001801,944,0.9782383419689119
BROWN - CITY OF GREEN BAY WARD 5,55009002003,21,0.021761658031088083
BROWN - CITY OF GREEN BAY WARD 6,55009002003,2081,1
BROWN - CITY OF GREEN BAY WARD 7,55009001801,265,0.1497175141242938
BROWN - CITY OF GREEN BAY WARD 7,55009002001,904,0.5107344632768361
BROWN - CITY OF GREEN BAY WARD 7,55009002002,222,0.12542372881355932
BROWN - CITY OF GREEN BAY WARD 7,55009002003,379,0.21412429378531073
BROWN - CITY OF GREEN BAY WARD 8,55009002002,1331,1
BROWN - CITY OF GREEN BAY WARD 9,55009002001,797,1
BROWN - TOWN OF EATON WARDS 1-2,55009020600,1049,1
BROWN - TOWN OF GLENMORE WARDS 1-2,55009010300,25,0.03654970760233918
BROWN - TOWN OF GLENMORE WARDS 1-2,55009020702,659,0.9634502923976608
BROWN - TOWN OF GREEN BAY WARDS 1-3,55009020100,1429,1
BROWN - TOWN OF HOLLAND WARDS 1-2,55009021500,967,1
BROWN - TOWN OF HUMBOLDT WARDS 1-2,55009020100,860,1
BROWN - TOWN OF LAWRENCE WARDS 1-7,55009940006,1330,0.3462639937516272
BROWN - TOWN OF LAWRENCE WARDS 1-7,55009940007,740,0.1926581619369956
BROWN - TOWN OF LAWRENCE WARDS 1-7,55009940008,1771,0.46107784431137727
BROWN - TOWN OF LEDGEVIEW WARD 6,55009010300,538,1
"BROWN - TOWN OF LEDGEVIEW WARDS 1-5,7-11",55009010300,768,0.16519681651968166
"BROWN - TOWN OF LEDGEVIEW WARDS 1-5,7-11",55009020702,3881,0.8348031834803183
BROWN - TOWN OF MORRISON WARDS 2-1,55009021500,964,1
BROWN - TOWN OF NEW DENMARK WARDS 1-3,55009020600,1020,0.9980430528375733
BROWN - TOWN OF NEW DENMARK WARDS 1-3,55071010200,2,0.0019569471624266144
BROWN - TOWN OF PITTSFIELD WARDS 1-3,55009021600,1843,1
BROWN - TOWN OF ROCKLAND WARDS 1-2,55009021400,657,1
BROWN - TOWN OF ROCKLAND WARDS 3-4,55009010300,22,0.039711191335740074
BROWN - TOWN OF ROCKLAND WARDS 3-4,55009021400,532,0.9602888086642599
BROWN - TOWN OF SCOTT WARDS 1-4,55009001802,855,0.3481270358306189
BROWN - TOWN OF SCOTT WARDS 1-4,55009020100,1601,0.6518729641693811
BROWN - TOWN OF WRIGHTSTOWN WARDS 1-4,55009021400,1256,1
BROWN - VILLAGE OF ALLOUEZ WARDS 1-2,55009020800,1313,0.8257861635220126
BROWN - VILLAGE OF ALLOUEZ WARDS 1-2,55009020900,277,0.1742138364779874
BROWN - VILLAGE OF ALLOUEZ WARDS 3-4,55009020900,1444,0.6663590216889709
BROWN - VILLAGE OF ALLOUEZ WARDS 3-4,55009021000,177,0.08167974157821874
BROWN - VILLAGE OF ALLOUEZ WARDS 3-4,55009021200,546,0.25196123673281035
BROWN - VILLAGE OF ALLOUEZ WARDS 5-6,55009021000,1562,0.6985688729874776
BROWN - VILLAGE OF ALLOUEZ WARDS 5-6,55009021200,674,0.30143112701252234
BROWN - VILLAGE OF ALLOUEZ WARDS 7-9,55009021000,81,0.0432923570283271
BROWN - VILLAGE OF ALLOUEZ WARDS 7-9,55009021200,1790,0.9567076429716729
BROWN - VILLAGE OF ASHWAUBENON WARDS 1-2,55009021303,1251,1
BROWN - VILLAGE OF ASHWAUBENON WARDS 11-12,55009021302,34,0.019318181818181818
BROWN - VILLAGE OF ASHWAUBENON WARDS 11-12,55009021304,616,0.35
BROWN - VILLAGE OF ASHWAUBENON WARDS 11-12,55009940006,193,0.10965909090909091
BROWN - VILLAGE OF ASHWAUBENON WARDS 11-12,55009940008,917,0.5210227272727272
BROWN - VILLAGE OF ASHWAUBENON WARDS 3-4,55009021301,800,0.657354149548069
BROWN - VILLAGE OF ASHWAUBENON WARDS 3-4,55009021303,417,0.34264585045193097
BROWN - VILLAGE OF ASHWAUBENON WARDS 5-6,55009021301,964,0.6231415643180349
BROWN - VILLAGE OF ASHWAUBENON WARDS 5-6,55009021302,583,0.3768584356819651
BROWN - VILLAGE OF ASHWAUBENON WARDS 7-8,55009021302,1743,1
BROWN - VILLAGE OF ASHWAUBENON WARDS 9-10,55009021302,1056,0.5827814569536424
BROWN - VILLAGE OF ASHWAUBENON WARDS 9-10,55009021304,440,0.24282560706401765
BROWN - VILLAGE OF ASHWAUBENON WARDS 9-10,55009940006,316,0.17439293598233996
BROWN - VILLAGE OF BELLEVUE WARDS 1-6,55009020703,301,0.07318259178215415
BROWN - VILLAGE OF BELLEVUE WARDS 1-6,55009020704,3812,0.9268174082178459
BROWN - VILLAGE OF BELLEVUE WARDS 7-10,55009020703,4265,1
BROWN - VILLAGE OF DENMARK WARDS 1-3,55009020600,1191,1
BROWN - VILLAGE OF GREENLEAF WARD 1,55009021400,290,1
BROWN - VILLAGE OF HOBART WARDS 1-7,55009940002,85,0.02260037224142515
BROWN - VILLAGE OF HOBART WARDS 1-7,55009940005,3671,0.9760701940973145
BROWN - VILLAGE OF HOBART WARDS 1-7,55009940006,5,0.0013294336612603031
BROWN - VILLAGE OF HOBART WARDS 8-11,55009940002,2,0.0012461059190031153
BROWN - VILLAGE OF HOBART WARDS 8-11,55009940005,223,0.13894080996884736
BROWN - VILLAGE OF HOBART WARDS 8-11,55009940006,895,0.557632398753894
BROWN - VILLAGE OF HOBART WARDS 8-11,55009940008,481,0.29968847352024924
