reporting_unit,county,rep_unit_2024,tract_GEOID,prop_of_rep_unit_2024
CITY OF GREEN BAY WARD 14,BROWN,BROWN - CITY OF GREEN BAY WARD 14,55009001200,0.030756442227763924
CITY OF GREEN BAY WARD 14,BROWN,BROWN - CITY OF GREEN BAY WARD 14,55009001400,0.969243557772236
CITY OF GREEN BAY WARD 15,BROWN,BROWN - CITY OF GREEN BAY WARD 15,55009001000,0.035338345864661655
CITY OF GREEN BAY WARD 15,BROWN,BROWN - CITY OF GREEN BAY WARD 15,55009001200,0.042105263157894736
CITY OF GREEN BAY WARD 15,BROWN,BROWN - CITY OF GREEN BAY WARD 15,55009001300,0.9225563909774436
CITY OF GREEN BAY WARD 16,BROWN,BROWN - CITY OF GREEN BAY WARD 16,55009002001,1
CITY OF GREEN BAY WARD 17,BROWN,BROWN - CITY OF GREEN BAY WARD 17,55009001702,0.8183279742765274
CITY OF GREEN BAY WARD 17,BROWN,BROWN - CITY OF GREEN BAY WARD 17,55009001801,0.18167202572347266
CITY OF GREEN BAY WARD 18,BROWN,BROWN - CITY OF GREEN BAY WARD 18,55009001100,0.19410977242302543
CITY OF GREEN BAY WARD 18,BROWN,BROWN - CITY OF GREEN BAY WARD 18,55009001702,0.3333333333333333
CITY OF GREEN BAY WARD 18,BROWN,BROWN - CITY OF GREEN BAY WARD 18,55009002001,0.4725568942436412
CITY OF GREEN BAY WARD 19,BROWN,BROWN - CITY OF GREEN BAY WARD 19,55009001400,0.07760814249363868
CITY OF GREEN BAY WARD 19,BROWN,BROWN - CITY OF GREEN BAY WARD 19,55009001600,0.3435114503816794
CITY OF GREEN BAY WARD 19,BROWN,BROWN - CITY OF GREEN BAY WARD 19,55009002001,0.5788804071246819
CITY OF GREEN BAY WARD 2,BROWN,BROWN - CITY OF GREEN BAY WARD 2,55009001802,1
CITY OF GREEN BAY WARD 20,BROWN,BROWN - CITY OF GREEN BAY WARD 20,55009001701,0.3373362445414847
CITY OF GREEN BAY WARD 20,BROWN,BROWN - CITY OF GREEN BAY WARD 20,55009001702,0.15065502183406113
CITY OF GREEN BAY WARD 20,BROWN,BROWN - CITY OF GREEN BAY WARD 20,55009001801,0.22161572052401746
